fake_author_ID,ctrl_obs_cat,ctrl_obs_2cat,acadmic_age,first_gender,second_gender,third_gender,mobility_status2,continent,WB_region,un_subregion,continent_new,un_subregion_new,WB_region_new
10147,top5-top10_oxq1,Others,23,Male,Male,Male,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10148,top1_oxq1,Talents,17,Male,Male,Male,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10149,top5-top10_oxq1,Others,21,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10150,top1_oxq1,Talents,21,Male,Male,Male,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10151,top1_oxq1,Talents,18,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10152,top1_oxq1,Talents,19,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10153,top1_oxq1,Talents,22,Male,Male,Male,Internal,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10154,top5-top10_oxq1,Others,22,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10155,top5-top10_oxq1,Others,22,Male,Male,Unknown,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10156,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10157,top1_oxq1,Talents,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10158,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10159,top5-top10_oxq1,Others,20,Male,Female,Unknown,Non mobile,Americas,North America,Northern America,USA,USA,USA
