fake_author_ID,ctrl_obs_cat,ctrl_obs_2cat,acadmic_age,first_gender,second_gender,third_gender,mobility_status2,continent,WB_region,un_subregion,continent_new,un_subregion_new,WB_region_new
9995,top1_oxq1,Talents,18,Male,Male,Unknown,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
9996,top5-top10_oxq1,Others,15,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
9997,top1_oxq1,Talents,13,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
9998,top1_oxq1,Talents,20,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
9999,top5-top10_oxq1,Others,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10000,top5-top10_oxq1,Others,20,Male,Female,Female,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10001,top1_oxq1,Talents,22,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10002,top1_oxq1,Talents,17,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10003,top5-top10_oxq1,Others,22,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10004,top1_oxq1,Talents,20,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10005,top5-top10_oxq1,Others,22,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10006,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Americas,Latin America & Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Latin America & Caribbean
10007,top1_oxq1,Talents,22,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10008,top1_oxq1,Talents,19,Female,Female,Female,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
