x,predicted,response.level,group
Talents,0.37936268005069496,International,Northern America
Talents,0.49741982113963695,Non mobile,Northern Europe
Talents,0.07427111987994701,Both,Northern Europe
Talents,0.08993974525684025,Internal,Northern Europe
Talents,0.3383693137235757,International,Northern Europe
Talents,0.5017496726075756,Non mobile,South-eastern Asia
Talents,0.13908431050790807,Both,South-eastern Asia
Talents,0.08060511354613274,Internal,South-eastern Asia
Talents,0.27856090333838357,International,South-eastern Asia
Talents,0.5370434771830418,Non mobile,Southern Asia
Talents,0.07865170626049442,Both,Southern Asia
Talents,0.13867364955492287,Internal,Southern Asia
Talents,0.24563116700154086,International,Southern Asia
Talents,0.5542504352857759,Non mobile,Southern Europe
Talents,0.058017324668352695,Both,Southern Europe
Talents,0.14349569671794266,Internal,Southern Europe
Talents,0.2442365433279288,International,Southern Europe
Talents,0.3100575869511406,Non mobile,USA
Talents,0.11301574976919058,Both,USA
Talents,0.4609315407974062,Internal,USA
Talents,0.11599512248226257,International,USA
Talents,0.30105811459830323,Non mobile,Western Asia
Talents,0.16723060702060663,Both,Western Asia
Talents,0.18746816925125506,Internal,Western Asia
Talents,0.3442431091298351,International,Western Asia
Talents,0.34696824168574325,Non mobile,Western Europe
Talents,0.13440091220260983,Both,Western Europe
Talents,0.19669639003291375,Internal,Western Europe
Talents,0.3219344560787331,International,Western Europe
Talents,0.35802768192688683,Non mobile,ZAF
Talents,0.1655646330295225,Both,ZAF
Talents,0.05680095937555265,Internal,ZAF
Talents,0.419606725668038,International,ZAF
