x,predicted,response.level,group,facet
Others,6.876873309646626e-8,Both,Unknown,Middle East & North Africa
Others,0.15753539906785027,Both,Unknown,North America
Others,0.20446874257667058,Both,Unknown,South Asia
Others,0.025527650114588442,Both,Unknown,USA
Others,5.076519940226568e-7,Both,Unknown,ZAF
Others,7.40739544302736e-5,Internal,Unknown,Sub-Saharan Africa
Others,0.6410950708488814,Internal,Unknown,BRA
Others,0.23511590228903864,Internal,Unknown,CHN
Others,0.3223275885122975,Internal,Unknown,East Asia & Pacific
Others,0.10655038996565094,Internal,Unknown,Europe & Central Asia
Others,0.16112601670108903,Internal,Unknown,Latin America & Caribbean
Others,1.495043664150042e-10,Internal,Unknown,Middle East & North Africa
Others,0.33030190538776616,Internal,Unknown,North America
Others,0.07179101175604109,Internal,Unknown,South Asia
Others,0.3811005015850816,Internal,Unknown,USA
Others,1.9941933109305718e-9,Internal,Unknown,ZAF
Others,4.994111294165773e-5,International,Unknown,Sub-Saharan Africa
Others,9.396633724620853e-9,International,Unknown,BRA
Others,0.16814323606915055,International,Unknown,CHN
Others,0.26668491190434984,International,Unknown,East Asia & Pacific
Others,0.26738484520548567,International,Unknown,Europe & Central Asia
Others,0.164780446246628,International,Unknown,Latin America & Caribbean
Others,0.5783636467231613,International,Unknown,Middle East & North Africa
Others,0.33760210670702273,International,Unknown,North America
Others,0.21863632551707116,International,Unknown,South Asia
Others,0.20033251081575015,International,Unknown,USA
Others,2.851572418953203e-11,International,Unknown,ZAF
Talents,0.6605064909124231,Non mobile,Female,Sub-Saharan Africa
Talents,0.5743592613766811,Non mobile,Female,BRA
Talents,0.6174828615337159,Non mobile,Female,CHN
Talents,0.5267114900403156,Non mobile,Female,East Asia & Pacific
Talents,0.5077216101401031,Non mobile,Female,Europe & Central Asia
Talents,0.37211656374330065,Non mobile,Female,Latin America & Caribbean
Talents,0.44767174826459666,Non mobile,Female,Middle East & North Africa
Talents,0.47314286902938657,Non mobile,Female,North America
Talents,0.45541319082315945,Non mobile,Female,South Asia
Talents,0.3430667934368581,Non mobile,Female,USA
Talents,0.595017520889481,Non mobile,Female,ZAF
Talents,0.1698308058774958,Both,Female,Sub-Saharan Africa
Talents,0.03165908778672315,Both,Female,BRA
Talents,0.08168837672464806,Both,Female,CHN
Talents,0.0718644937395048,Both,Female,East Asia & Pacific
Talents,0.06909464443845754,Both,Female,Europe & Central Asia
Talents,0.24931502518967946,Both,Female,Latin America & Caribbean
Talents,0.09724465903097597,Both,Female,Middle East & North Africa
Talents,0.0800801841174479,Both,Female,North America
Talents,0.056101472510092294,Both,Female,South Asia
Talents,0.10936862982926669,Both,Female,USA
Talents,0.07656886039116557,Both,Female,ZAF
Talents,1.2246510005247243e-5,Internal,Female,Sub-Saharan Africa
Talents,0.16292025368443433,Internal,Female,BRA
Talents,0.1653234200134346,Internal,Female,CHN
Talents,0.23778447503238354,Internal,Female,East Asia & Pacific
Talents,0.13688084826639899,Internal,Female,Europe & Central Asia
Talents,0.12612369864802309,Internal,Female,Latin America & Caribbean
Talents,0.130165766614245,Internal,Female,Middle East & North Africa
Talents,0.11980259952923474,Internal,Female,North America
Talents,0.11000635071462997,Internal,Female,South Asia
Talents,0.4394176343244164,Internal,Female,USA
Talents,5.218748840943456e-12,Internal,Female,ZAF
Talents,0.16965045670007595,International,Female,Sub-Saharan Africa
Talents,0.2310613971521614,International,Female,BRA
Talents,0.1355053417282015,International,Female,CHN
Talents,0.16363954118779603,International,Female,East Asia & Pacific
Talents,0.28630289715504026,International,Female,Europe & Central Asia
Talents,0.25244471241899685,International,Female,Latin America & Caribbean
Talents,0.3249178260901824,International,Female,Middle East & North Africa
Talents,0.32697434732393077,International,Female,North America
Talents,0.37847898595211826,International,Female,South Asia
Talents,0.108146942409459,International,Female,USA
Talents,0.3284136187141346,International,Female,ZAF
Talents,0.3379025818695991,Non mobile,Male,Sub-Saharan Africa
Talents,0.5550941284972678,Non mobile,Male,BRA
Talents,0.5759574827689395,Non mobile,Male,CHN
Talents,0.41804829762047,Non mobile,Male,East Asia & Pacific
Talents,0.43266996717051676,Non mobile,Male,Europe & Central Asia
Talents,0.31329540063659045,Non mobile,Male,Latin America & Caribbean
Talents,0.3959220435427485,Non mobile,Male,Middle East & North Africa
Talents,0.3058406836435086,Non mobile,Male,North America
Talents,0.42740734476786707,Non mobile,Male,South Asia
Talents,0.30043399081280225,Non mobile,Male,USA
Talents,0.2881295291287478,Non mobile,Male,ZAF
Talents,0.09214801124020054,Both,Male,Sub-Saharan Africa
Talents,0.04877994839239931,Both,Male,BRA
Talents,0.08506872723314265,Both,Male,CHN
Talents,0.10554220559193812,Both,Male,East Asia & Pacific
Talents,0.10506457610865068,Both,Male,Europe & Central Asia
Talents,0.18618302600461836,Both,Male,Latin America & Caribbean
Talents,0.1378844815005142,Both,Male,Middle East & North Africa
Talents,0.14872001850832856,Both,Male,North America
Talents,0.11965811605096947,Both,Male,South Asia
Talents,0.11454825448873837,Both,Male,USA
Talents,0.19325184352031075,Both,Male,ZAF
Talents,0.14139809673096576,Internal,Male,Sub-Saharan Africa
Talents,0.19155579108511603,Internal,Male,BRA
Talents,0.173931302226605,Internal,Male,CHN
Talents,0.28060216122299425,Internal,Male,East Asia & Pacific
