x,predicted,response.level,group,facet
Others,0.08243106548398364,Both,Male,Northern Europe
Others,0.11525813407319094,Both,Male,South-eastern Asia
Others,0.13863414259875773,Both,Male,Southern Asia
Others,0.054298789095147924,Both,Male,Southern Europe
Others,0.0968978781443071,Both,Male,USA
Others,0.11638009296209716,Both,Male,Western Asia
Others,0.09958462588228809,Both,Male,Western Europe
Others,0.27979103128564436,Both,Male,ZAF
Others,0.08131576600009885,Internal,Male,Sub-Saharan Africa
Others,0.16728708068066006,Internal,Male,Australia and New Zealand
Others,0.31163761213641844,Internal,Male,BRA
Others,4.894901433722054e-7,Internal,Male,Central Asia
Others,0.19357071603412082,Internal,Male,CHN
Others,0.32815218236403865,Internal,Male,Eastern Asia
Others,0.11747976330856205,Internal,Male,Eastern Europe
Others,0.16701551849968455,Internal,Male,Latin America and the Caribbean
Others,5.379599861038319e-4,Internal,Male,Melanesia
Others,0.10708542161438464,Internal,Male,Northern Africa
Others,0.1294386847695651,Internal,Male,Northern America
Others,0.08621659278729968,Internal,Male,Northern Europe
Others,0.018715978552863857,Internal,Male,South-eastern Asia
Others,0.1514065337973972,Internal,Male,Southern Asia
Others,0.16047091005144726,Internal,Male,Southern Europe
Others,0.4074857660854874,Internal,Male,USA
Others,0.15260424470656703,Internal,Male,Western Asia
Others,0.22459283127072094,Internal,Male,Western Europe
Others,0.11652752294375048,Internal,Male,ZAF
Others,0.15674843219373863,International,Male,Sub-Saharan Africa
Others,0.33395585796339217,International,Male,Australia and New Zealand
Others,0.20250240307006206,International,Male,BRA
Others,0.7108591445287274,International,Male,Central Asia
Others,0.19593619782822716,International,Male,CHN
Others,0.18304328516045737,International,Male,Eastern Asia
Others,0.29202377777843896,International,Male,Eastern Europe
Others,0.3862305256640568,International,Male,Latin America and the Caribbean
Others,0.9894574144943971,International,Male,Melanesia
Others,0.44513594515418425,International,Male,Northern Africa
Others,0.36374047532839965,International,Male,Northern America
Others,0.31260636493999117,International,Male,Northern Europe
Others,0.5452118002083411,International,Male,South-eastern Asia
Others,0.3276407062594601,International,Male,Southern Asia
Others,0.19224290484115283,International,Male,Southern Europe
Others,0.14098185347584682,International,Male,USA
Others,0.39041577201999444,International,Male,Western Asia
Others,0.23853571959157743,International,Male,Western Europe
Others,0.2380484767539288,International,Male,ZAF
Others,0.8429057611485012,Non mobile,Unknown,Sub-Saharan Africa
Others,0.22458230570588084,Non mobile,Unknown,Australia and New Zealand
Others,0.5240174877391125,Non mobile,Unknown,BRA
Others,3.3925189166075756e-6,Non mobile,Unknown,Central Asia
Others,0.6607153725306383,Non mobile,Unknown,CHN
Others,0.6384385834774102,Non mobile,Unknown,Eastern Asia
Others,0.8693140710286923,Non mobile,Unknown,Eastern Europe
Others,0.444576534834097,Non mobile,Unknown,Latin America and the Caribbean
Others,0.4250876124448723,Non mobile,Unknown,Melanesia
Others,0.9997940180059124,Non mobile,Unknown,Northern Africa
Others,0.6569543587076841,Non mobile,Unknown,Northern America
Others,0.6348382704734684,Non mobile,Unknown,Northern Europe
Others,0.6688751635172836,Non mobile,Unknown,South-eastern Asia
Others,0.738607990058577,Non mobile,Unknown,Southern Asia
Others,0.8623182299142998,Non mobile,Unknown,Southern Europe
Others,0.44910026906484113,Non mobile,Unknown,USA
Others,0.5584951411130141,Non mobile,Unknown,Western Asia
Others,0.6154596148261573,Non mobile,Unknown,Western Europe
Others,0.999980430131896,Non mobile,Unknown,ZAF
Others,3.5057388991617383e-7,Both,Unknown,Sub-Saharan Africa
Others,1.584804423875488e-7,Both,Unknown,Australia and New Zealand
Others,2.7254032009489714e-8,Both,Unknown,BRA
Others,1.022454667661625e-10,Both,Unknown,Central Asia
