Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
International,Unknown,-11.275,0.284,-39.725,0,-11.832,-10.719,Yes
International,Brazil,-3.005,0.779,-3.859,0,-4.53,-1.479,Yes
International,China,-2.826,0.683,-4.136,0,-4.165,-1.486,Yes
International,East Asia Pacific,-2.219,0.682,-3.255,0.001,-3.555,-0.883,Yes
International,Europe Central Asia,-2.148,0.675,-3.184,0.001,-3.47,-0.826,Yes
International,Latin America Caribbean,-1.035,0.752,-1.375,0.169,-2.509,0.44,No
International,Middle East North Africa,-1.701,0.744,-2.286,0.022,-3.159,-0.242,Yes
International,North America,-2.063,0.706,-2.924,0.003,-3.446,-0.68,Yes
International,South Asia,-1.911,0.747,-2.557,0.011,-3.376,-0.446,Yes
International,USA,-2.295,0.68,-3.374,0.001,-3.628,-0.962,Yes
International,South Africa,-2.003,1.064,-1.883,0.06,-4.088,0.082,No
International,Academic age,0.066,0.006,11.742,0,0.055,0.078,Yes
International,Tal. x M.,5.103,0.531,9.603,0,4.061,6.144,Yes
International,Tal. x Unk.,-3.584,0.319,-11.218,0,-4.21,-2.958,Yes
International,Tal. x Brazil,3.453,0.967,3.572,0,1.558,5.348,Yes
International,Tal. x China,2.668,0.802,3.328,0.001,1.097,4.239,Yes
International,Tal. x EastAsiaPa,2.409,0.8,3.01,0.003,0.841,3.977,Yes
International,Tal. x EuropeCenAs,2.934,0.788,3.724,0,1.39,4.478,Yes
International,Tal. x LatinAmeriCar,2.006,1.209,1.659,0.097,-0.363,4.375,No
International,Tal. x MENA,2.739,0.928,2.953,0.003,0.921,4.558,Yes
International,Tal. x NorthAmer,3.053,0.836,3.651,0,1.414,4.692,Yes
International,Tal. x SouthAsi,3.086,0.969,3.183,0.001,1.185,4.986,Yes
International,Tal. x USA,2.5,0.797,3.137,0.002,0.938,4.062,Yes
International,Tal. x SouthAfrica,2.768,1.262,2.194,0.028,0.295,5.241,Yes
International,M. x Brazil,4.295,0.938,4.579,0,2.457,6.134,Yes
International,Unk. x Brazil,-4.549,0.671,-6.782,0,-5.864,-3.234,Yes
International,M. x China,3.726,0.843,4.418,0,2.073,5.379,Yes
International,Unk. x China,11.581,0.545,21.236,0,10.512,12.65,Yes
International,M. x EastAsiaPa,3.572,0.841,4.247,0,1.923,5.221,Yes
International,Unk. x EastAsiaPa,11.89,0.437,27.206,0,11.033,12.747,Yes
International,M. x EuropeCenAs,3.568,0.835,4.274,0,1.932,5.204,Yes
International,Unk. x EuropeCenAs,11.311,0.376,30.108,0,10.575,12.048,Yes
International,M. x LatinAmeriCar,3.221,0.913,3.528,0,1.432,5.011,Yes
International,Unk. x LatinAmeriCar,9.79,1.112,8.805,0,7.611,11.969,Yes
International,M. x MENA,3.825,0.898,4.26,0,2.065,5.584,Yes
International,Unk. x MENA,11.921,1.346,8.855,0,9.283,14.56,Yes
International,M. x NorthAmer,4.072,0.868,4.693,0,2.371,5.772,Yes
International,Unk. x NorthAmer,12.627,1.144,11.038,0,10.385,14.869,Yes
International,M. x SouthAsi,3.747,0.902,4.154,0,1.979,5.515,Yes
International,Unk. x SouthAsi,10.978,0.739,14.859,0,9.53,12.427,Yes
International,M. x USA,3.429,0.841,4.079,0,1.781,5.076,Yes
International,Unk. x USA,11.526,0.484,23.832,0,10.578,12.474,Yes
International,M. x SouthAfrica,3.443,1.292,2.664,0.008,0.91,5.977,Yes
International,Unk. x SouthAfrica,-12.373,0,-125230355329.285,0,-12.373,-12.373,Yes
