Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
International,Tal. x Northern Africa,-10.758,0.598,-17.995,0,-11.93,-9.587,Yes
International,Tal. x Northern America,3.273,0.859,3.811,0,1.59,4.957,Yes
International,Tal. x Northern Europe,2.866,0.822,3.486,0,1.254,4.477,Yes
International,Tal. x South-eastern Asia,-0.201,1.403,-0.143,0.886,-2.951,2.549,No
International,Tal. x Southern Asia,3.014,0.956,3.152,0.002,1.14,4.888,Yes
International,Tal. x Southern Europe,3.234,0.826,3.916,0,1.615,4.852,Yes
International,Tal. x USA,2.725,0.819,3.329,0.001,1.121,4.33,Yes
International,Tal. x Western Asia,3.332,0.935,3.564,0,1.5,5.165,Yes
International,Tal. x Western Europe,3.421,0.82,4.172,0,1.814,5.029,Yes
International,Tal. x South Africa,2.904,1.299,2.236,0.025,0.358,5.449,Yes
International,M. x Australia NZ,4.281,0.871,4.917,0,2.574,5.987,Yes
International,Unk. x Australia NZ,15.052,0.5,30.127,0,14.073,16.032,Yes
International,M. x Brazil,4.474,0.938,4.769,0,2.635,6.313,Yes
International,Unk. x Brazil,-4.636,0.7,-6.621,0,-6.009,-3.264,Yes
International,M. x Central Asia,6.554,0.434,15.116,0,5.704,7.404,Yes
International,Unk. x Central Asia,0,0,0,1,-0,0,No
International,M. x China,3.909,0.838,4.664,0,2.266,5.551,Yes
International,Unk. x China,5.507,0.556,9.901,0,4.417,6.598,Yes
International,M. x Eastern Asia,3.721,0.84,4.429,0,2.075,5.368,Yes
International,Unk. x Eastern Asia,5.763,0.477,12.084,0,4.829,6.698,Yes
International,M. x Eastern Europe,3.59,0.869,4.131,0,1.887,5.294,Yes
International,Unk. x Eastern Europe,4.511,1.098,4.109,0,2.359,6.663,Yes
International,M. x Latin America Car.,3.406,0.912,3.734,0,1.618,5.194,Yes
International,Unk. x Latin America Car.,3.73,1.155,3.23,0.001,1.466,5.993,Yes
International,M. x Melanesia,3.221,0,460323.345,0,3.221,3.221,Yes
International,Unk. x Melanesia,0,0,0,1,-0,0,No
International,M. x Northern Africa,2.904,1.131,2.568,0.01,0.687,5.121,Yes
International,Unk. x Northern Africa,4.823,1.533,3.147,0.002,1.819,7.827,Yes
International,M. x Northern America,4.248,0.864,4.918,0,2.555,5.941,Yes
International,Unk. x Northern America,6.551,1.189,5.511,0,4.221,8.881,Yes
International,M. x Northern Europe,3.687,0.837,4.404,0,2.046,5.328,Yes
International,Unk. x Northern Europe,5.46,0.684,7.982,0,4.119,6.8,Yes
International,M. x South-eastern Asia,1.729,1.32,1.31,0.19,-0.858,4.316,No
International,Unk. x South-eastern Asia,2.744,1.552,1.768,0.077,-0.298,5.786,No
International,M. x Southern Asia,3.925,0.891,4.408,0,2.18,5.671,Yes
International,Unk. x Southern Asia,5.067,0.757,6.696,0,3.584,6.55,Yes
International,M. x Southern Europe,3.842,0.84,4.573,0,2.195,5.488,Yes
International,Unk. x Southern Europe,5.649,0.536,10.545,0,4.599,6.699,Yes
International,M. x USA,3.609,0.835,4.322,0,1.973,5.246,Yes
International,Unk. x USA,5.456,0.489,11.166,0,4.498,6.414,Yes
International,M. x Western Asia,4.303,0.893,4.817,0,2.552,6.054,Yes
International,Unk. x Western Asia,5.585,1.37,4.077,0,2.9,8.269,Yes
International,M. x Western Europe,3.618,0.835,4.333,0,1.982,5.254,Yes
International,Unk. x Western Europe,4.96,0.486,10.205,0,4.007,5.912,Yes
International,M. x South Africa,3.516,1.311,2.682,0.007,0.947,6.084,Yes
International,Unk. x South Africa,-8.674,0,-4188795.682,0,-8.674,-8.674,Yes
International,Tal. x M. x Australia NZ,-5.487,0.649,-8.455,0,-6.759,-4.215,Yes
International,Tal. x Unk. x Australia NZ,-6.629,0.83,-7.988,0,-8.255,-5.002,Yes
International,Tal. x M. x Brazil,-6.254,0.843,-7.422,0,-7.905,-4.602,Yes
International,Tal. x Unk. x Brazil,12.731,0.7,18.182,0,11.359,14.104,Yes
International,Tal. x M. x Central Asia,-7.276,0.618,-11.767,0,-8.488,-6.064,Yes
International,Tal. x M. x China,-5.326,0.565,-9.43,0,-6.433,-4.219,Yes
International,Tal. x Unk. x China,2.686,0.708,3.795,0,1.299,4.073,Yes
International,Tal. x M. x Eastern Asia,-4.962,0.577,-8.599,0,-6.093,-3.831,Yes
International,Tal. x Unk. x Eastern Asia,1.5,0.693,2.164,0.03,0.142,2.858,Yes
International,Tal. x M. x Eastern Europe,-4.907,0.737,-6.654,0,-6.352,-3.462,Yes
International,Tal. x Unk. x Eastern Europe,-9.154,0,-362510.342,0,-9.154,-9.154,Yes
International,Tal. x M. x Latin America Car.,-4.574,1.125,-4.065,0,-6.78,-2.369,Yes
International,Tal. x M. x Melanesia,3.221,0,460323.345,0,3.221,3.221,Yes
International,Tal. x M. x Northern Africa,8.858,0.598,14.816,0,7.686,10.03,Yes
International,Tal. x M. x Northern America,-5.288,0.633,-8.358,0,-6.528,-4.048,Yes
International,Tal. x Unk. x Northern America,-15.112,0,-13008143.963,0,-15.112,-15.112,Yes
International,Tal. x M. x Northern Europe,-5.064,0.562,-9.009,0,-6.166,-3.962,Yes
International,Tal. x Unk. x Northern Europe,2.168,0.809,2.68,0.007,0.582,3.753,Yes
International,Tal. x M. x South-eastern Asia,-2.766,1.316,-2.103,0.035,-5.345,-0.188,Yes
International,Tal. x M. x Southern Asia,-5.729,0.759,-7.551,0,-7.216,-4.242,Yes
International,Tal. x Unk. x Southern Asia,1.224,1.305,0.938,0.348,-1.333,3.781,No
International,Tal. x M. x Southern Europe,-5.229,0.572,-9.149,0,-6.35,-4.109,Yes
International,Tal. x Unk. x Southern Europe,1.94,0.755,2.569,0.01,0.46,3.421,Yes
International,Tal. x M. x USA,-5.07,0.556,-9.122,0,-6.159,-3.98,Yes
International,Tal. x Unk. x USA,2.137,0.714,2.99,0.003,0.736,3.537,Yes
International,Tal. x M. x Western Asia,-5.649,0.737,-7.663,0,-7.094,-4.204,Yes
International,Tal. x Unk. x Western Asia,1.878,1.871,1.004,0.315,-1.789,5.545,No
International,Tal. x M. x Western Europe,-5.293,0.557,-9.495,0,-6.386,-4.201,Yes
International,Tal. x Unk. x Western Europe,2.575,0.684,3.764,0,1.234,3.915,Yes
International,Tal. x M. x South Africa,-4.145,1.323,-3.133,0.002,-6.737,-1.552,Yes
